Time,X,Y,Z
0.1,-162.859881992164,-263.399325062312,137.563143744086
0.2,-162.859881992164,-263.399325062312,137.563143744086
0.3,-162.859881992164,-263.399325062312,137.563143744086
0.4,-163.120709755135,-262.91865245969,136.735706461172
0.5,-163.663743376465,-255.840830624847,121.697280179834
0.6,-162.28554753057,-249.450810738214,122.852207960718
0.7,-162.504044627986,-245.644194069626,122.937073838249
0.8,-161.616129989114,-240.276575003304,123.674652292773
0.9,-161.398995671966,-232.943839002864,121.940860911481
1.0,-161.225171569107,-229.669729528405,122.709789969159
1.1,-160.364180166612,-222.583829809663,122.385422501929
1.2,-160.621249666981,-220.791184128498,124.047930704122
1.3,-159.818712001806,-214.114551006502,122.40140244455
1.4,-158.907087134552,-207.530857866038,121.510494549598
1.5,-158.925253025074,-204.289241537592,121.684733336739
1.6,-157.945376424804,-199.218890759268,122.747095718954
1.7,-158.195877554174,-192.160385097585,121.64470213608
1.8,-158.43309314924,-188.878589696382,121.178469511414
1.9,-157.404901302675,-184.183010370364,121.583419668185
2.0,-157.873819770584,-180.765088656061,121.92725570816
2.1,-156.728865783353,-174.531097424884,121.774233459024
2.2,-156.085181561334,-167.50674949642,120.703495549654
2.3,-156.118325722057,-166.004033607072,121.380269267405
2.4,-156.08989851255,-159.47855809756,121.139869492879
2.5,-155.285276214514,-152.92131494389,121.027232713381
2.6,-155.74342631279,-149.652497267425,121.632625782599
2.7,-154.68264330118,-145.024666863621,121.069622150206
2.8,-155.250616776138,-141.580951069001,120.926259543463
2.9,-154.430201804925,-135.711297587122,121.373645843832
3.0,-153.868192214051,-129.066062136127,121.090088080102
3.1,-154.031744415839,-127.203423458871,121.154821650017
3.2,-153.477654030702,-120.915706786807,120.755534506439
3.3,-153.034989837711,-116.436389029772,120.75138923248
3.4,-152.157417528182,-109.979278444792,120.00247191712
3.5,-152.210000581728,-106.849456346664,120.119482041123
3.6,-151.724752440049,-102.053933584973,120.133800719084
3.7,-151.085203391252,-95.6736480948971,119.821113341722
3.8,-151.267292258054,-92.2504535576535,119.69177259471
3.9,-150.673755289497,-87.8152823551148,119.448466259142
4.0,-151.031828161467,-84.0349189504112,120.139714190691
4.1,-150.053702673514,-77.8531511427538,119.544990559645
4.2,-149.526999800297,-71.2831851963987,119.033320898437
4.3,-149.541189865875,-69.8874188204273,119.655165667534
4.4,-148.69259173257,-63.7393289497589,118.943917263022
4.5,-148.154797115296,-57.4108506067224,119.037518580136
4.6,-147.924046067066,-54.2114348807762,118.894612223766
4.7,-147.480770828619,-49.4749885829539,119.279569557989
4.8,-147.347433024567,-45.6865198757108,118.849879120779
4.9,-146.529573846097,-40.0666301667993,118.908526087969
5.0,-145.98017139806,-33.251716384994,119.03784859271
5.1,-145.812070182559,-32.0390627733443,119.011116251341
5.2,-145.192774976188,-25.6524401372708,118.935780388684
5.3,-144.642693190066,-18.741687152439,119.140108697965
5.4,-144.467035591355,-17.5933710131042,119.460351509047
5.5,-143.690442603664,-11.2643282652387,119.169255303492
5.6,-143.228722140301,-4.17567458657434,119.250587800957
5.7,-143.084779082716,-2.85373931949534,119.514648043382
5.8,-142.169724061466,3.27186183423665,119.002174657965
5.9,-141.541094020115,10.4406983639757,119.087962330926
6.0,-141.170662259859,13.2484285385121,118.940421252374
6.1,-140.581146126411,18.434734692682,119.130531950589
6.2,-139.885278097566,23.1686364120565,118.940421252374
6.3,-139.020759139076,30.1000165792323,118.784004074702
6.4,-138.68537486529,33.1604423734893,119.090638429101
6.5,-137.99603375983,37.9608498882421,118.110461217379
6.6,-136.817409963656,45.1983687258324,116.953843064189
6.7,-136.487343527362,47.8933169684263,116.764212348298
6.8,-135.90709199038,53.1449353432189,116.291436218113
6.9,-134.834824560048,56.8221793583034,115.103473956551
7.0,-134.350888458907,63.0395837386109,114.881205885191
7.1,-133.219865654019,70.1599573877995,113.727873722703
7.2,-133.061590043557,71.6486248290854,113.682839308676
7.3,-132.193828598984,78.1354298441598,112.933835556578
7.4,-131.789432022186,85.7384352305214,114.260272973966
7.5,-131.405102557516,87.802082725851,114.278883632198
7.6,-130.848804651464,94.2721815666793,113.527209206752
7.7,-129.76277055323,101.588536136578,112.923591550727
7.8,-129.877597137054,104.274195153908,112.69462984561
7.9,-129.672329001092,110.132868244715,113.4751709629
8.0,-128.835882795368,113.21933550296,112.70829665027
8.1,-128.314607461294,119.933659227303,111.956182492594
8.2,-127.873268833034,127.09104900276,111.801190945865
8.3,-127.673298510499,128.853838899791,111.341615837642
8.4,-126.456460888803,135.709940587672,110.423057411617
8.5,-126.04063174907,143.425656216998,110.801849028867
8.6,-126.236053871105,147.71164193005,109.145539318547
8.7,-125.675356164612,149.825920583412,109.449169992354
8.8,-125.210811607666,156.445971163658,108.387345219586
8.9,-124.690595154359,163.883695228045,108.785738101109
9.0,-124.106276968338,165.209577442579,107.615423270295
9.1,-124.033245145236,172.156866324288,107.38566078635
9.2,-123.720651125543,179.149857601622,106.890767246757
9.3,-123.396772919227,182.245575971825,106.522006117104
9.4,-123.32940672844,187.67578508993,106.32149376876
9.5,-122.369619904563,194.560792956105,105.238978664774
9.6,-122.403391765228,197.290306471316,104.617010016705
9.7,-122.074473492819,202.962280994925,105.210660529132
9.8,-121.652689771431,205.818777031154,103.547459258543
9.9,-121.090105548054,212.991433555263,103.539804556162
10.0,-120.774602067997,220.232062912143,103.047173686959
10.1,-120.015623000762,222.069219149058,102.986496928737
10.2,-120.533883566469,228.020905276073,101.923085951063
10.3,-120.048505212283,234.895402133949,101.497722554653
10.4,-120.550328370315,235.877304843172,101.561467408969
